patrol_home,cluster,lat,lon,expected_catches,travel_min,arrive,depart,cum_catches,seq,top_station,top_junction
Upparpet (KR Market),7,13.00847023373364,77.6953491928279,15.5,39.9,18:39,18:54,15.5,1,K.R. Pura,No Junction
Upparpet (KR Market),22,13.00034227066731,77.67692166080886,2.3,6.6,19:01,19:16,17.8,2,Mahadevapura,No Junction
Upparpet (KR Market),77,12.996270368323913,77.66856570373136,0.4,3.0,19:19,19:34,18.2,3,Mahadevapura,No Junction
Upparpet (KR Market),53,12.993665981763286,77.66265148514493,0.3,2.1,19:36,19:51,18.5,4,Banaswadi,No Junction
Upparpet (KR Market),160,12.971740054262243,77.65810047879046,0.3,7.5,19:59,20:14,18.8,5,Jeevanbheemanagar,No Junction
Upparpet (KR Market),39,12.94840568571474,77.6991017133326,0.4,15.4,20:29,20:44,19.2,6,HAL Old Airport,No Junction
Upparpet (KR Market),24,12.957803867431393,77.70159754925886,0.3,3.2,20:47,21:02,19.5,7,HAL Old Airport,No Junction
Upparpet (KR Market),63,12.987592266499163,77.73468456080403,0.3,14.6,21:17,21:32,19.8,8,Mahadevapura,No Junction
Upparpet (KR Market),19,12.995552347646026,77.69572667813357,0.3,12.9,21:45,22:00,20.1,9,Mahadevapura,No Junction
Upparpet (KR Market),96,12.979181635342654,77.69511432006475,0.2,5.5,22:05,22:20,20.3,10,Mahadevapura,No Junction
Upparpet (KR Market),188,12.95143124974158,77.71749372344273,0.2,11.8,22:32,22:47,20.5,11,Whitefield,No Junction
Shivajinagar,90,12.935571118210117,77.61553218840467,0.9,16.0,18:16,18:31,0.9,1,Adugodi,BTP135 - UCO Bank Junction
Shivajinagar,335,12.92255892286678,77.62263975473952,1.0,4.9,18:35,18:50,1.9,2,Madiwala,BTP137 - Madiwala Traffic PS Junction
Shivajinagar,47,12.912113855848814,77.62587803256532,0.9,3.6,18:54,19:09,2.8,3,HSR Layout,No Junction
Shivajinagar,266,12.932383537063954,77.63170500813953,0.3,7.0,19:16,19:31,3.1,4,Adugodi,No Junction
Shivajinagar,30,12.911683414545452,77.6380994196104,0.3,7.2,19:38,19:53,3.4,5,HSR Layout,No Junction
Shivajinagar,21,12.926951099151209,77.678696565403,0.4,14.1,20:07,20:22,3.8,6,Bellandur,No Junction
Shivajinagar,10,12.933374259401132,77.69016117981703,0.3,4.3,20:27,20:42,4.1,7,HAL Old Airport,No Junction
Shivajinagar,9,12.899678595987291,77.67546321208172,0.2,12.2,20:54,21:09,4.3,8,Bellandur,No Junction
Shivajinagar,16,12.841900801184774,77.6458046385819,0.4,21.6,21:31,21:46,4.7,9,Electronic City,No Junction
Shivajinagar,130,12.885559980984958,77.64159261868056,0.2,14.6,22:00,22:15,4.9,10,Hulimavu,No Junction
Shivajinagar,20,12.892070964302745,77.63795726140543,0.2,2.5,22:18,22:33,5.1,11,Hulimavu,No Junction
Malleshwaram,32,13.010300043254174,77.5533427284025,1.2,6.2,18:06,18:21,1.2,1,Malleshwaram,No Junction
Malleshwaram,132,13.030556639677815,77.53656711510368,1.4,8.7,18:29,18:44,2.6,2,Yeshwanthpura,No Junction
Malleshwaram,5,12.999126981334644,77.54923116034749,0.5,11.3,18:56,19:11,3.1,3,Malleshwaram,BTP027 - Modi Bridge Junction
Malleshwaram,33,13.00674527309748,77.57055055568847,0.3,7.4,19:18,19:33,3.4,4,Malleshwaram,No Junction
Malleshwaram,58,13.071052465902577,77.58794474739787,0.6,22.2,19:55,20:10,4.0,5,Kodigehalli,No Junction
Malleshwaram,121,13.070832877767463,77.5922413352204,0.4,1.4,20:12,20:27,4.4,6,Kodigehalli,No Junction
Malleshwaram,45,13.03534425738412,77.58903357648482,0.4,11.9,20:39,20:54,4.8,7,Hebbala,No Junction
